INSTNM,CITY,STABBR,ZIP
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138
Southwest Texas Junior College,Uvalde,TX,78801-6297
Southwestern Assemblies of God University,Waxahachie,TX,75165
Southwestern University,Georgetown,TX,78626
Stephen F Austin State University,Nacogdoches,TX,75961
Texas State University,San Marcos,TX,78666
Southwestern Adventist University,Keene,TX,76059
Southwestern Christian College,Terrell,TX,75160-4812
Sul Ross State University,Alpine,TX,79832
Tarleton State University,Stephenville,TX,76401-0000
Tarrant County College District,Fort Worth,TX,76102
Temple College,Temple,TX,76504-7435
University of Texas Southwestern Medical Center,Dallas,TX,75390-9096
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900
The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129
Texarkana College,Texarkana,TX,75599
Texas A & M University-Kingsville,Kingsville,TX,78363
Texas A & M University-College Station,College Station,TX,77843-1246
The University of Texas at Arlington,Arlington,TX,76013
The University of Texas at Austin,Austin,TX,78705
The University of Texas at Dallas,Richardson,TX,75080-3021
The University of Texas at El Paso,El Paso,TX,79968-0691
The University of Texas at Tyler,Tyler,TX,75799-6699
Texas Chiropractic College Foundation Inc,Pasadena,TX,77505-1699
Texas Christian University,Fort Worth,TX,76129
Texas College,Tyler,TX,75702
University of North Texas Health Science Center,Fort Worth,TX,76107-2699
Texas Lutheran University,Seguin,TX,78155-5999
The University of Texas Permian Basin,Odessa,TX,79762-0001
The University of Texas at San Antonio,San Antonio,TX,78249-1644
Texas Southern University,Houston,TX,77004
Texas Tech University,Lubbock,TX,79409-5005
Texas Wesleyan University,Fort Worth,TX,76105-1536
Texas Woman's University,Denton,TX,76204
Trinity University,San Antonio,TX,78212-7200
The University of Texas Health Science Center at Houston,Houston,TX,77030
Texas Tech University Health Sciences Center,Lubbock,TX,79430
Tyler Junior College,Tyler,TX,75701
Universal Technical Institute of Texas Inc.,Houston,TX,77073
UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,78504
Vernon College,Vernon,TX,76384-4092
Victoria Beauty & Barber College,Victoria,TX,77901-6233
Victoria College,Victoria,TX,77901
Vogue College of Cosmetology-McAllen,McAllen,TX,78501-1945
Wayland Baptist University,Plainview,TX,79072
Weatherford College,Weatherford,TX,76086-5699
West Texas A & M University,Canyon,TX,79016-0001
Western Texas College,Snyder,TX,79549
Wharton County Junior College,Wharton,TX,77488
Wiley College,Marshall,TX,75670
AmeriTech College-Provo,Provo,UT,84604
Bridgerland Technical College,Logan,UT,84321
Brigham Young University,Provo,UT,84602
Brigham Young University-Hawaii,Laie,HI,96762-1294
Broadview College,West Jordan,UT,84088
Cameo College of Essential Beauty,Murray,UT,84107
Collectiv Academy,Sandy,UT,84094
Davis Technical College,Kaysville,UT,84037-2699
Utah Tech University,Saint George,UT,84770-3876
Evans Hairstyling College-Cedar City,Cedar City,UT,84720
Evans Hairstyling College-St George,Saint George,UT,84770
Paul Mitchell the School-Salt Lake City,Holladay,UT,84117
Eagle Gate College-Murray,Murray,UT,84123-6965
Ensign College,Salt Lake City,UT,84101-3500
Ogden-Weber Technical College,Ogden,UT,84404-4089
Snow College,Ephraim,UT,84627
Southern Utah University,Cedar City,UT,84720
Stevens-Henager College,West Haven,UT,84401
Stevens-Henager College,Orem,UT,84058
Uintah Basin Technical College,Roosevelt,UT,84066
Utah State University,Logan,UT,84322-1400
Utah Valley University,Orem,UT,84058-5999
Salt Lake Community College,Salt Lake City,UT,84123
University of Utah,Salt Lake City,UT,84112-9008
Weber State University,Ogden,UT,84408-1001
Westminster College,Salt Lake City,UT,84105
Bennington College,Bennington,VT,05201-6003
Castleton University,Castleton,VT,5735
Champlain College,Burlington,VT,5401
Community College of Vermont,Montpelier,VT,5602
Goddard College,Plainfield,VT,05667-9432
Northern Vermont University,Johnson,VT,05656-9464
Marlboro College,Marlboro,VT,05344-0300
Middlebury College,Middlebury,VT,5753
New England Culinary Institute,Montpelier,VT,5602
Norwich University,Northfield,VT,05663-1035
O'Briens Aveda Institute,Williston,VT,5495
Saint Michael's College,Colchester,VT,5439
SIT Graduate Institute,Brattleboro,VT,05302-0676
Sterling College,Craftsbury Common,VT,05827-0072
Vermont Law and Graduate School,South Royalton,VT,05068-0096
Vermont Technical College,Randolph,VT,5061
University of Vermont,Burlington,VT,05405-0160
Paul Mitchell the School-Roanoke,Roanoke,VA,24015
Advanced Technology Institute,Virginia Beach,VA,23462
Averett University,Danville,VA,24541
Blue Ridge Community College,Weyers Cave,VA,24486-0080
Bluefield University,Bluefield,VA,24605
Bridgewater College,Bridgewater,VA,22812-1599
William & Mary,Williamsburg,VA,23187-8795
Regent University,Virginia Beach,VA,23464
Central School of Practical Nursing,Norfolk,VA,23502
Central Virginia Community College,Lynchburg,VA,24502-2498
Christopher Newport University,Newport News,VA,23606-3072
Allegiance Beauty School,Norfolk,VA,23505
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462
Radford University-Carilion,Roanoke,VA,24013
Mountain Gateway Community College,Clifton Forge,VA,24422-1000
Danville Community College,Danville,VA,24541-4004
Eastern Virginia Medical School,Norfolk,VA,23507
Centura College-Virginia Beach,Virginia Beach,VA,23452-7431
Emory & Henry College,Emory,VA,24327-0947
Eastern Mennonite University,Harrisonburg,VA,22802-2462
Eastern Shore Community College,Melfa,VA,23410
Ferrum College,Ferrum,VA,24088-9000
George Mason University,Fairfax,VA,22030-4444
Germanna Community College,Locust Grove,VA,22508-2102
Hampden-Sydney College,Hampden-Sydney,VA,23943-0128
Hampton University,Hampton,VA,23668-0099
Hollins University,Roanoke,VA,24020
J Sargeant Reynolds Community College,Richmond,VA,23228-2327
James Madison University,Harrisonburg,VA,22807
Brightpoint Community College,Chester,VA,23831-5316
Liberty University,Lynchburg,VA,24515
Longwood University,Farmville,VA,23909
Laurel Ridge Community College,Middletown,VA,22645
University of Lynchburg,Lynchburg,VA,24501-3113
Centra College,Lynchburg,VA,24501
Mary Baldwin University,Staunton,VA,24401
University of Mary Washington,Fredericksburg,VA,22401-5300
Marymount University,Arlington,VA,22207-4299
Sovah School of Health Professions,Danville,VA,24541
Mountain Empire Community College,Big Stone Gap,VA,24219
American National University,Salem,VA,24153
New River Community College,Dublin,VA,24084-3660
Sentara College of Health Sciences,Chesapeake,VA,23320
Tidewater Tech-Trades,Norfolk,VA,23502
Norfolk State University,Norfolk,VA,23504-8000
Northern Virginia Community College,Annandale,VA,22003-3796
Old Dominion University,Norfolk,VA,23529
Patrick & Henry Community College,Martinsville,VA,24112
Paul D Camp Community College,Franklin,VA,23851
Southside College of Health Sciences,Colonial Heights,VA,23834
Piedmont Virginia Community College,Charlottesville,VA,22902-7589
Radford University,Radford,VA,24142
Sylvain Melloul International Hair Academy,Lynchburg,VA,24502-2652
Randolph-Macon College,Ashland,VA,23005-5505
Randolph College,Lynchburg,VA,24503-1555
Rappahannock Community College,Glenns,VA,23149-2616
Fortis College-Norfolk,Norfolk,VA,23502-4101
Richard Bland College,South Prince George,VA,23805-7100
Bon Secours Memorial College of Nursing,Richmond,VA,23227-1149
University of Richmond,University of Richmond,VA,23173
Riverside College of Health Careers,Newport News,VA,23601
Roanoke College,Salem,VA,24153-3794
Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,23227
Shenandoah University,Winchester,VA,22601-5195
Southeastern Free Will Baptist Bible College,Wendell,NC,27591-9072
Southern Virginia University,Buena Vista,VA,24416
Southside Virginia Community College,Alberta,VA,23821
Southwest Virginia Community College,Cedar Bluff,VA,24609
Staunton School of Cosmetology,Staunton,VA,24401-4323
Strayer University-Virginia,Arlington,VA,22201
Sweet Briar College,Sweet Briar,VA,24595-9998
Virginia Peninsula Community College,Hampton,VA,23666
Tidewater Community College,Norfolk,VA,23510
Union Presbyterian Seminary,Richmond,VA,23227
University of Virginia's College at Wise,Wise,VA,24293-4400
Virginia Highlands Community College,Abingdon,VA,24212-0828
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131
Virginia Western Community College,Roanoke,VA,24015
Virginia Commonwealth University,Richmond,VA,23284-2512
University of Virginia-Main Campus,Charlottesville,VA,22903-2628
Virginia Military Institute,Lexington,VA,24450-0304
Asher Institute of Hampton,Hampton,VA,23666
Virginia University of Lynchburg,Lynchburg,VA,24501
Virginia State University,Petersburg,VA,23806
Virginia Union University,Richmond,VA,23220
Virginia Wesleyan University,Virginia Beach,VA,23455
Washington and Lee University,Lexington,VA,24450-2116
Wytheville Community College,Wytheville,VA,24382-3308
Bellevue College,Bellevue,WA,98007-6484
Bellingham Technical College,Bellingham,WA,98225-1599
Big Bend Community College,Moses Lake,WA,98837-3299
Central Washington University,Ellensburg,WA,98926
Centralia College,Centralia,WA,98531-4099
City University of Seattle,Seattle,WA,98121
Paul Mitchell the School-Richland,Richland,WA,99352
Clark College,Vancouver,WA,98663-3598
Clover Park Technical College,Lakewood,WA,98499-4004
Columbia Basin College,Pasco,WA,99301
Cornish College of the Arts,Seattle,WA,98121
Divers Institute of Technology,Seattle,WA,98103
Eastern Washington University,Cheney,WA,99004-2496
Edmonds College,Lynnwood,WA,98036-5912
Everett Community College,Everett,WA,98201
Paroba College of Cosmetology,Everett,WA,98203
The Evergreen State College,Olympia,WA,98505-0001
Pierce College District,Lakewood,WA,98498-1999
Glen Dow Academy of Hair Design,Spokane,WA,99201
Gonzaga University,Spokane,WA,99258-0001
Grays Harbor College,Aberdeen,WA,98520-7599
Green River College,Auburn,WA,98092-3622
Toni & Guy Hairdressing Academy-Shoreline,Shoreline,WA,98133
Heritage University,Toppenish,WA,98948
Highline College,Des Moines,WA,98198-9800
International Air and Hospitality Academy,Vancouver,WA,98661
Bastyr University,Kenmore,WA,98028-4966
Highlights Beauty Schools,Mountlake Terrace,WA,98043
Bates Technical College,Tacoma,WA,98405
Lake Washington Institute of Technology,Kirkland,WA,98034-8506
Lower Columbia College,Longview,WA,98632
BJ's Beauty & Barber College,Tacoma,WA,98409
North Seattle College,Seattle,WA,98103-3599
Northwest University,Kirkland,WA,98083-0579
Olympic College,Bremerton,WA,98337-1699
Perry Technical Institute,Yakima,WA,98903-1296
Pacific Lutheran University,Tacoma,WA,98447-0003
Peninsula College,Port Angeles,WA,98362
University of Puget Sound,Tacoma,WA,98416
Renton Technical College,Renton,WA,98056-4123
Saint Martin's University,Lacey,WA,98503-7500
South Seattle College,Seattle,WA,98106-1499
Seattle Central College,Seattle,WA,98122
Seattle Pacific University,Seattle,WA,98119-1997
Seattle University,Seattle,WA,98122-4340
Shoreline Community College,Shoreline,WA,98133-5696
Skagit Valley College,Mount Vernon,WA,98273
South Puget Sound Community College,Olympia,WA,98512-6292
Spokane Community College,Spokane,WA,99217-5399
Spokane Falls Community College,Spokane,WA,99224-5288
Stylemaster College of Hair Design,Longview,WA,98632-3027
Tacoma Community College,Tacoma,WA,98466-6100
Walla Walla Community College,Walla Walla,WA,99362-9267
Walla Walla University,College Place,WA,99324-1198
Washington State University,Pullman,WA,99164-5910
University of Washington-Seattle Campus,Seattle,WA,98195-4550
Wenatchee Valley College,Wenatchee,WA,98801-1799
Western Washington University,Bellingham,WA,98225-9008
Whatcom Community College,Bellingham,WA,98226
Whitman College,Walla Walla,WA,99362
Whitworth University,Spokane,WA,99251
Yakima Valley College,Yakima,WA,98907-2520
Alderson Broaddus University,Philippi,WV,26416-2035
Appalachian Beauty School,Belfry,KY,41514
Appalachian Bible College,Mount Hope,WV,25880-9557
B M Spurr School of Practical Nursing,Glen Dale,WV,26038
Ben Franklin Career Center,Dunbar,WV,25064
Bethany College,Bethany,WV,26032
Bluefield State University,Bluefield,WV,24701-2198
Cabell County Career Technology Center,Huntington,WV,25705-2827
Charleston School of Beauty Culture,Charleston,WV,25304
University of Charleston,Charleston,WV,25304
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV,26301
Concord University,Athens,WV,24712
Davis & Elkins College,Elkins,WV,26241-3996
Fairmont State University,Fairmont,WV,26554-2470
Glenville State University,Glenville,WV,26351-1292
Huntington Junior College,Huntington,WV,25701
James Rumsey Technical Institute,Martinsburg,WV,25403-0259
Ralph R Willis Career and Technical Center,Stollings,WV,25646
Marshall University,Huntington,WV,25755
Mercer County Technical Education Center,Princeton,WV,24740
Meredith Manor International Equestrian Center,Waverly,WV,26184
Monongalia County Technical Education Center,Morgantown,WV,26501-6841
Morgantown Beauty College Inc,Morgantown,WV,26505-5430
Mountain State College,Parkersburg,WV,26101-3993
Ohio Valley University,Vienna,WV,26105-8000
West Virginia University at Parkersburg,Parkersburg,WV,26104
Potomac State College of West Virginia University,Keyser,WV,26726
Academy of Careers and Technology,Beckley,WV,25801
Salem University,Salem,WV,26426
Shepherd University,Shepherdstown,WV,25443
Southern West Virginia Community and Technical College,Mount Gay,WV,25637
Fred W Eberle Technical Center,Buckhannon,WV,26201
West Virginia School of Osteopathic Medicine,Lewisburg,WV,24901
West Virginia State University,Institute,WV,25112-1000
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV,26506-8062
West Liberty University,West Liberty,WV,26074
West Virginia University Institute of Technology,Beckley,WV,25801
West Virginia Wesleyan College,Buckhannon,WV,26201-2994
West Virginia Junior College-Charleston,Cross Lanes,WV,25313-1304
West Virginia Junior College-Morgantown,Morgantown,WV,26505
International Beauty School 4,Martinsburg,WV,25401
West Virginia Northern Community College,Wheeling,WV,26003-3699
West Virginia University,Morgantown,WV,26506
Wheeling University,Wheeling,WV,26003
Wood County School of Practical Nursing,Parkersburg,WV,26101
VICI Beauty School,Greenfield,WI,53228
Alverno College,Milwaukee,WI,53234-3922
Madison Area Technical College,Madison,WI,53704-2599
Bellin College,Green Bay,WI,54311
Beloit College,Beloit,WI,53511-5595
Blackhawk Technical College,Janesville,WI,53547-5009
Cardinal Stritch University,Milwaukee,WI,53217-3985
Carroll University,Waukesha,WI,53186
Carthage College,Kenosha,WI,53140-1994
Columbia College of Nursing,Glendale,WI,53212
Concordia University-Wisconsin,Mequon,WI,53097-2402
Edgewood College,Madison,WI,53711-1997
Fox Valley Technical College,Appleton,WI,54912-2277
Gateway Technical College,Kenosha,WI,53144-1690
The Professional Hair Design Academy,Eau Claire,WI,54701-7633
Lakeland University,Plymouth,WI,53073
Lakeshore Technical College,Cleveland,WI,53015-1414
Lawrence University,Appleton,WI,54911
Maranatha Baptist University,Watertown,WI,53094
Marian University,Fond Du Lac,WI,54935-4699
Marquette University,Milwaukee,WI,53233
Medical College of Wisconsin,Milwaukee,WI,53226-0509
Mid-State Technical College,Wisconsin Rapids,WI,54494
Milwaukee Area Technical College,Milwaukee,WI,53233-1443
Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003
Milwaukee School of Engineering,Milwaukee,WI,53202-3109
Moraine Park Technical College,Fond du Lac,WI,54936-1940
Mount Mary University,Milwaukee,WI,53222-4597
Nashotah House,Nashotah,WI,53058-9793
Nicolet Area Technical College,Rhinelander,WI,54501-0518
Northcentral Technical College,Wausau,WI,54401-1899
Northeast Wisconsin Technical College,Green Bay,WI,54307-9042
Northland College,Ashland,WI,54806-3999
Ripon College,Ripon,WI,54971-0248
Sacred Heart Seminary and School of Theology,Franklin,WI,53132
Saint Norbert College,De Pere,WI,54115-2099
Holy Family College,Manitowoc,WI,54220-9319
State College of Beauty Culture Inc,Wausau,WI,54403
Southwest Wisconsin Technical College,Fennimore,WI,53809-9778
Viterbo University,La Crosse,WI,54601-8804
Chippewa Valley Technical College,Eau Claire,WI,54701-6162
Waukesha County Technical College,Pewaukee,WI,53072-4601
Western Technical College,La Crosse,WI,54601
University of Wisconsin-Whitewater,Whitewater,WI,53190-1790
Northwood Technical College,Shell Lake,WI,54871-8727
Wisconsin School of Professional Psychology,Milwaukee,WI,53225-4960
University of Wisconsin-Eau Claire,Eau Claire,WI,54701
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959
Wisconsin Lutheran College,Milwaukee,WI,53226-4699
University of Wisconsin-Oshkosh,Oshkosh,WI,54901
University of Wisconsin-Parkside,Kenosha,WI,53144
Herzing University-Madison,Madison,WI,53718
University of Wisconsin-Stout,Menomonie,WI,54751
University of Wisconsin-Superior,Superior,WI,54880-4500
University of Wisconsin-Madison,Madison,WI,53706-1380
University of Wisconsin-Milwaukee,Milwaukee,WI,53211
University of Wisconsin-Platteville,Platteville,WI,53818-3099
University of Wisconsin-River Falls,River Falls,WI,54022-5001
University of Wisconsin-Stevens Point,Stevens Point,WI,54481-3897
Casper College,Casper,WY,82601-4699
Central Wyoming College,Riverton,WY,82501
Eastern Wyoming College,Torrington,WY,82240-1699
Laramie County Community College,Cheyenne,WY,82007-3299
Northwest College,Powell,WY,82435-1898
Northern Wyoming Community College District,Sheridan,WY,82801
Western Wyoming Community College,Rock Springs,WY,82901
Cheeks Beauty Academy,Cheyenne,WY,82001-4413
WyoTech,Laramie,WY,82070-9519
University of Wyoming,Laramie,WY,82071
American Samoa Community College,Pago Pago,AS,96799-2609
Guam Community College,Mangilao,GU,96913
University of Guam,Mangilao,GU,96923
Northern Marianas College,Saipan,MP,96950-1250
Institute of Beauty Careers,Arecibo,PR,613
Educational Technical College-Recinto de Bayamon,BAYAMON,PR,961
American University of Puerto Rico,Bayamon,PR,00960-2037
American University of Puerto Rico,Manati,PR,00674-1082
American Educational College,Bayamon,PR,961
Antilles School of Technical Careers,San Juan,PR,909
Universidad Adventista de las Antillas,Mayaguez,PR,00680-0000
Atlantic University College,Guaynabo,PR,970
Universidad Central de Bayamon,Bayamón,PR,00960-1725
Columbia Central University-Caguas,Caguas,PR,726
Albizu University-San Juan,San Juan,PR,00902-3711
Caribbean University-Bayamon,Bayamon,PR,00960-0493
Caribbean University-Carolina,Carolina,PR,985
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,00614-4045
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,00717-9997
CEM College-San Juan,San Juan,PR,00926-1931
Universidad Teologica del Caribe,Trujillo Alto,PR,00978-0901
Colegio Universitario de San Juan,San Juan,PR,918
Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,00926-2602
Puerto Rico Conservatory of Music,San Juan,PR,00907-3373
Center for Advanced Studies On Puerto Rico and the Caribbean,San Juan,PR,901
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,685
Emma's Beauty Academy-Mayaguez,Mayaguez,PR,00680-4222
Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,00902-1112
Instituto Tecnologico de Puerto Rico-Recinto de Manati,Manati,PR,00674-1091
Huertas College,Caguas,PR,725
Humacao Community College,Humacao,PR,791
ICPR Junior College-Arecibo,Arecibo,PR,00614-0067
ICPR Junior College-Mayaguez,Mayaguez,PR,00681-1108
Richport Technical College,Baton Rouge,LA,70836
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Guayama,PR,00784-0000
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Ponce,PR,00717-0306
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,San Juan,PR,924
Inter American University of Puerto Rico-San German,San German,PR,683
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,603
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,614
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,794
Inter American University of Puerto Rico-Metro,San Juan,PR,919
Inter American University of Puerto Rico-Ponce,Mercedita,PR,00715-1602
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,00738-7003
Inter American University of Puerto Rico-Guayama,Guayama,PR,784
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,00957-6257
Inter American University of Puerto Rico-School of Law,San Juan,PR,00936-8351
International Technical College,San Juan,PR,00918-3325
Liceo de Arte y Tecnologia,San Juan,PR,917
Modern Hairstyling Institute-Bayamon,Bayamon,PR,961
Modern Hairstyling Institute-Arecibo,Arecibo,PR,612
NUC University,Bayamon,PR,960
Ponce Health Sciences University,Ponce,PR,00716-2347
University of Puerto Rico-Aguadilla,Aguadilla,PR,00604-1309
University of Puerto Rico-Arecibo,Arecibo,PR,00614-4010
University of Puerto Rico-Bayamon,Bayamon,PR,959
University of Puerto Rico-Carolina,Carolina,PR,00984-4800
University of Puerto Rico-Cayey,Cayey,PR,00737-2230
University of Puerto Rico-Humacao,Humacao,PR,792
University of Puerto Rico-Utuado,Utuado,PR,641
University of Puerto Rico-Mayaguez,Mayaguez,PR,681
University of Puerto Rico-Medical Sciences,San Juan,PR,00936-5067
University of Puerto Rico at Ponce,Ponce,PR,00716-9996
University of Puerto Rico-Rio Piedras,San Juan,PR,00931-0000
Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,00985-0985
Universidad del Sagrado Corazon,Santurce,PR,914
Seminario Evangelico de Puerto Rico,San Juan,PR,925
Universidad Central Del Caribe,Bayamon,PR,00960-6032
Universidad Politecnica de Puerto Rico,Hato Rey,PR,919
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,00680-1713
Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,00778-3030
College of Micronesia-FSM,Pohnpei,FM,96941
Palau Community College,Koror,PW,96940
University of the Virgin Islands,Charlotte Amalie,VI,00802-9990
Stanford University,Stanford,CA,94305
Purdue University-Main Campus,West Lafayette,IN,47907-2040
Blue Hills Regional Technical School,Canton,MA,2021
Parker University,Dallas,TX,75229-5668
EDP University of Puerto Rico Inc-San Juan,San Juan,PR,918
ICPR Junior College,Hato Rey,PR,00919-0304
City College-Fort Lauderdale,Fort Lauderdale,FL,33309
Meridian College,Sarasota,FL,34240
Georgia State University-Perimeter College,Atlanta,GA,30303-3083
Georgia Piedmont Technical College,Clarkston,GA,30021-2397
ETI School of Skilled Trades,Willowbrook,IL,60527
Traxlers School of Hair,Jackson,MS,39212
Warren County Community College,Washington,NJ,07882-4343
St. John's College,Santa Fe,NM,87505-4599
Bais Medrash Elyon,Monsey,NY,10952
Antioch University-Los Angeles,Culver City,CA,90230-7615
Antioch University-Santa Barbara,Santa Barbara,CA,93101
Antioch University-New England,Keene,NH,3431
Antioch University-Seattle,Seattle,WA,98121-1814
Antioch University,Yellow Springs,OH,45387
Mid-America Christian University,Oklahoma City,OK,73170-9797
Miller-Motte College-Tulsa,Tulsa,OK,74145
Ponca City Beauty College,Ponca City,OK,74601
Francis Tuttle Technology Center,Oklahoma City,OK,73142-2789
Central Technology Center,Drumright,OK,74030
Carrington College-Portland,Portland,OR,97232-1309
Career Technology Center of Lackawanna County,Scranton,PA,18508
Houston Graduate School of Theology,Houston,TX,77035-3602
Palo Alto College,San Antonio,TX,78224-2499
Sebring Career Schools-Huntsville,Huntsville,TX,77340
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,San Antonio,TX,78201
Central Texas Beauty College-Round Rock,Round Rock,TX,78664-4604
Unification Theological Seminary,New York,NY,10036
Athens Technical College,Athens,GA,30601
GateWay Community College-Central City,Phoenix,AZ,85034-4101
Headmasters School of Hair Design,Lewiston,ID,83501
The Salon Professional Academy-Nampa,Nampa,ID,83686-5104
Beckfield College-Florence,Florence,KY,41042
Dorsey College-Wayne,Wayne,MI,48184
Ecumenical Theological Seminary,Detroit,MI,48201-3035
Ross Medical Education Center-Saginaw,Saginaw,MI,48603-5227
Sussex County Community College,Newton,NJ,7860
Landmark College,Putney,VT,5346
Yeshiva Gedolah of Greater Detroit,Oak Park,MI,48237
Austin Graduate School of Theology,Austin,TX,78752
Collin County Community College District,McKinney,TX,75069
Owensboro Community and Technical College,Owensboro,KY,42303
Allure Beauty College,Whitesburg,KY,41858
Empire Beauty School-Hurstborne,Louisville,KY,40291
Cloyd's Beauty School 3 Inc,Monroe,LA,71201
Moore Norman Technology Center,Norman,OK,73069-8308
Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA,15401
Franklin County Career and Technology Center,Chambersburg,PA,17202
Paul Mitchell the School-Knoxville,Knoxville,TN,37919
Ogle School Hair Skin Nails-Hurst,Hurst,TX,76053-4650
Tennessee College of Applied Technology Nashville,Nashville,TN,37209-4515
ECPI University,Virginia Beach,VA,23462
Branford Hall Career Institute-Jersey City,Jersey City,NJ,7306
Paul Mitchell the School-Houston,Houston,TX,77043
TDDS Technical Institute,Lake Milton,OH,44429
Fortis Institute-Forty Fort,Forty Fort,PA,18704-2936
Laurel Business Institute,Uniontown,PA,15401
Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-1018
Dorsey College-Roseville,Roseville,MI,48066
Moler-Pickens Beauty Academy,Fairfield,OH,45014
Red River Technology Center,Duncan,OK,73533
Southern Union State Community College,Wadley,AL,36276
South University-Columbia,Columbia,SC,29203
Clinton Technical School,Clinton,MO,64735
Greene County Career and Technology Center,Waynesburg,PA,15370-8281
Lac Courte Oreilles Ojibwe University,Hayward,WI,54843
Diesel Driving Academy-Shreveport,Shreveport,LA,71109-5209
Pima Medical Institute-Mesa,Mesa,AZ,85202
Platt College-Los Angeles,Alhambra,CA,91803
Platt College-Aurora,Greenwood Village,CO,80111
Paul Mitchell the School-Boise,Boise,ID,83709
Educators of Beauty College of Cosmetology-Rockford,Rockford,IL,61108
Northwestern College,Oak Lawn,IL,60453
Douglas J Aveda Institute,East Lansing,MI,48823
Ross Medical Education Center-Brighton,Brighton,MI,48116-7402
Ross Medical Education Center-Ann Arbor,Ann Arbor,MI,48108-1411
Taylortown School of Beauty Inc,Taylor,MI,48180-1866
Pike-Lincoln Technical Center,Eolia,MO,63344-0038
West Virginia Junior College-United Career Institute,Mount Braddock,PA,15465
Bethel Seminary-San Diego,San Diego,CA,92115
St Charles Community College,Cottleville,MO,63376-0975
University of Massachusetts Global,Irvine,CA,92618
New College of Florida,Sarasota,FL,34243-2109
Montana Bible College,Bozeman,MT,59718
Conservatory of Recording Arts and Sciences,Tempe,AZ,85282-1707
Adrian's Beauty College of Turlock,Turlock,CA,95380
California Career School,Anaheim,CA,92805
Dr. Ida Rolf Institute,Boulder,CO,80301-0000
Aveda Institute-Fort Myers,Fort Myers,FL,33907
Elizabeth Grady School of Esthetics and Massage Therapy,Medford,MA,2155
Ross Medical Education Center-Port Huron,Port Huron,MI,48060-1530
Capri Institute of Hair Design-Clifton,Clifton,NJ,7011
Raphael's School of Beauty Culture Inc-Alliance,Alliance,OH,44601
Metro Technology Centers,Oklahoma City,OK,73111-5240
Hussian College-Daymar College Bowling Green,Bowling Green,KY,42101
Luna Community College,Las Vegas,NM,87701
Grabber School of Hair Design,St. Louis,MO,63126
Yeshivah Gedolah Rabbinical College,Miami Beach,FL,33139
University of the District of Columbia-David A Clarke School of Law,Washington,DC,20008
Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,OH,44212
Caribbean University-Ponce,Ponce,PR,00716-7733
Caribbean University-Vega Baja,Vega Baja,PR,964
University of Advancing Technology,Tempe,AZ,85283
Paradise Valley Community College,Phoenix,AZ,85032
Chandler-Gilbert Community College,Chandler,AZ,85225-2499
HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,IL,62769
Great Plains Technology Center,Lawton,OK,73505-8399
Roane-Jackson Technical Center,Leroy,WV,25252-9700
Pioneer Technology Center,Ponca City,OK,74601
Portage Lakes Career Center,Uniontown,OH,44685
Eastern College of Health Vocations-New Orleans,New Orleans,LA,70123
Bell Mar Beauty College,Cicero,IL,60804
Caddo Kiowa Technology Center,Fort Cobb,OK,73038-0190
Center for Instruction Technology & Innovation,Mexico,NY,13114
International School of Skin Nailcare & Massage Therapy,Sandy Springs,GA,30350
Palomar Institute of Cosmetology,San Marcos,CA,92078
Southern Oklahoma Technology Center,Ardmore,OK,73401
Vista College,El Paso,TX,79925-2021
Autry Technology Center,Enid,OK,73703-2506
Greene County Career Center,Xenia,OH,45385-9545
Canadian Valley Technology Center,El Reno,OK,73036-9117
